"School Name","Official School Name","Address Line1","Address Line2","City","State","Zip Code 5","Zip Code 4","Mailing Address Line1","Mailing Address Line2","Mailing City","Mailing State","Mailing Zip Code 5","Mailing Zip Code 4","LEA Number","School Number","Federal School Number"
"Brinson Memorial Elementary","Brinson Memorial Elementary","319 Neuse Forest Avenue","-","New Bern","NC","28560","6812","-","-","-","-","-","-","250","250312","370331002171"
"Craven Early College High","Craven Early College High","800 College Court","-","New Bern","NC","28562","-","-","-","-","-","-","-","250","250314","370331002843"
"Creekside Elementary","Creekside Elementary","2790 Landscape Drive","-","New Bern","NC","28562","-","-","-","-","-","-","-","250","250316","370331002980"
"Vanceboro-Farm Life Elementary","Vanceboro-Farm Life Elementary","2000 Farm Life Avenue","-","Vanceboro","NC","28586","0098","-","-","-","-","-","-","250","250320","370331002173"
"Early College EAST High","Early College EAST High School","104 Middle School Lane","-","Havelock","NC","28532","-","-","-","-","-","-","-","250","250321","370331003127"
"Grover C Fields Middle","Grover C. Fields Middle","2000 M L King Jr Boulevard","-","New Bern","NC","28560","4544","-","-","-","-","-","-","250","250324","370331002311"
"Graham A Barden Elementary","Graham A. Barden Elementary","200 Cedar Drive","-","Havelock","NC","28532","2197","-","-","-","-","-","-","250","250328","370331000382"
"H J MacDonald Middle","H J MacDonald Middle","3127 Elizabeth Avenue","-","New Bern","NC","28562","2509","-","-","-","-","-","-","250","250332","370331000383"
"Havelock Elementary","Havelock Elementary","201 Cunningham Boulevard","-","Havelock","NC","28532","1908","-","-","-","-","-","-","250","250336","370331002175"
"Havelock High","Havelock High","101 Webb Boulevard","-","Havelock","NC","28532","1952","-","-","-","-","-","-","250","250340","370331000384"
"Havelock Middle","Havelock Middle","102 Middle School Lane","-","Havelock","NC","28532","1748","-","-","-","-","-","-","250","250344","370331000386"
"J.T. Barber Elementary","J.T. Barber Elementary","1700 Cobb Street","-","New Bern","NC","28560","3536","-","-","-","-","-","-","250","250348","370331000387"
"James W Smith Elementary","James W Smith Elementary","150 Koonce Town Road","-","Cove City","NC","28523","9674","-","-","-","-","-","-","250","250350","370331002211"
"New Bern High","New Bern High","4200 Academic Drive","-","New Bern","NC","28562","9692","-","-","-","-","-","-","250","250356","370331000388"
"Oaks Road Academy","Oaks Road Academy","2811 Oaks Road","-","New Bern","NC","28560","2834","-","-","-","-","-","-","250","250360","370331002177"
"Roger Bell New Tech Academy","Roger Bell New Tech Academy","804 Fontana Boulevard","-","Havelock","NC","28532","1634","-","-","-","-","-","-","250","250362","370331002178"
"Trent Park Elementary","Trent Park Elementary","2500 Educational Drive","-","New Bern","NC","28562","4400","-","-","-","-","-","-","250","250364","370331002179"
"Tucker Creek Middle","Tucker Creek Middle","200 Sermons Boulevard","-","Havelock","NC","28532","-","-","-","-","-","-","-","250","250368","370331002084"
"West Craven High","West Craven High","2600 Streets Ferry Road","-","Vanceboro","NC","28586","8353","-","-","-","-","-","-","250","250372","370331002180"
"West Craven Middle","West Craven Middle","515 NW Craven Middle School Rd","-","New Bern","NC","28532","-","-","-","-","-","-","-","250","250376","370331002084"
"W Jesse Gurganus Elementary","W Jesse Gurganus Elementary","535 Hwy 70 W","-","Havelock","NC","28532","9435","-","-","-","-","-","-","250","250378","370331002312"
"Craven Virtual Academy","Craven Virtual Academy","3600 Trent Rd","-","New Bern","NC","28562","-","-","-","-","-","-","-","250","250379","370331003588"
"Arthur W Edwards Elementary","Arthur W Edwards Elementary","200 Education Lane","-","Havelock","NC","28532","0189","-","-","-","-","-","-","250","250380","370331002181"
"Riverside Leadership Academy","Riverside Leadership Academy","1955 Old Airport Rd","-","New Bern","NC","28562","-","-","-","-","-","-","-","25A","25A000","370508003658"
"Alma O Easom Elementary","Alma O Easom Elementary","1610 Westlawn Avenue","-","Fayetteville","NC","28305","4722","-","-","-","-","-","-","260","260302","370001102119"
"Armstrong Elementary","Armstrong Elementary","3395 Dunn Road","-","Eastover","NC","28312","-","-","-","-","-","-","-","260","260306","370001102085"
"Ashley Elementary","Ashley Elementary","810 Trainer Drive","-","Fayetteville","NC","28304","-","-","-","-","-","-","-","260","260308","370001100394"
"Loyd E Auman Elementary","Loyd E Auman Elementary","6882 Raeford Road","-","Fayetteville","NC","28304","2629","-","-","-","-","-","-","260","260310","370001102120"
"Beaver Dam Elementary","Beaver Dam Elementary","12059 Hwy 210 S","-","Roseboro","NC","28382","9304","-","-","-","-","-","-","260","260312","370001100395"
"Jack Britt High","Jack Britt High School","7403 Rockfish Road","-","Fayetteville","NC","28306","-","-","-","-","-","-","-","260","260318","370001102512"
"Brentwood Elementary","Brentwood Elementary","1115 Bingham Drive","-","Fayetteville","NC","28304","2898","-","-","-","-","-","-","260","260320","370001100397"
"Douglas Byrd Middle","Douglas Byrd Middle","1616 Ireland Drive","-","Fayetteville","NC","28304","4363","-","-","-","-","-","-","260","260321","370001100399"
"Douglas Byrd High","Douglas Byrd High","1624 Ireland Drive","-","Fayetteville","NC","28304","4363","-","-","-","-","-","-","260","260322","370001100400"
"Cape Fear High","Cape Fear High","4762 Clinton Road","-","Fayetteville","NC","28312","8976","-","-","-","-","-","-","260","260325","370001100402"
"Elizabeth M Cashwell Elementary","Elizabeth M Cashwell Elementary School","2970 Legion Road","-","Fayetteville","NC","28306","3225","-","-","-","-","-","-","260","260326","370001100403"
"Eastover-Central Elementary","Eastover-Central Elementary","5174 Dunn Road","-","Eastover","NC","28312","-","-","-","-","-","-","-","260","260332","370001100405"
"Anne Chesnutt Middle","Anne Chesnutt Middle","2121 Skibo Road","-","Fayetteville","NC","28314","-","-","-","-","-","-","-","260","260336","370001100406"
"Cliffdale Elementary","Cliffdale Elementary","6450 Cliffdale Road","-","Fayetteville","NC","28314","2099","-","-","-","-","-","-","260","260338","370001100407"
"College Lakes Elementary","College Lakes Elementary","4963 Rosehill Road","-","Fayetteville","NC","28311","6941","-","-","-","-","-","-","260","260340","370001100408"
"C Wayne Collier Elementary","C Wayne Collier Elementary","3522 Sturbridge Drive","-","Hope Mills","NC","28348","2198","-","-","-","-","-","-","260","260342","370001102121"
"J W Coon Elementary","J W Coon Elementary","905 Hope Mills Road","-","Fayetteville","NC","28304","4295","-","-","-","-","-","-","260","260344","370001100409"
"Cumberland International Early College","Cumberland International Early College High School","1200 Murchison Rd","J Knuckles Science Annex","Fayetteville","NC","28301","-","-","-","-","-","-","-","260","260347","370001103228"
"Cumberland Mills Elementary","Cumberland Mills Elementary School","2576 Hope Mills Road","-","Fayetteville","NC","28306","9372","-","-","-","-","-","-","260","260348","370001100410"
"Cumberland Road Elementary","Cumberland Road Elementary","2700 Cumberland Road","-","Fayetteville","NC","28306","2246","-","-","-","-","-","-","260","260352","370001100411"
"Cross Creek Early College","Cross Creek Early College","1200 Murchison Road","-","Fayetteville","NC","28301","-","-","-","-","-","-","-","260","260354","370001102756"
"District No 7 Elementary","District No 7 Elementary","5721 Smithfield Road","-","Wade","NC","28395","9708","-","-","-","-","-","-","260","260356","370001100412"
"Gray's Creek High","Gray's Creek High School","5301 Celebration Drive","-","Hope Mills","NC","28348","-","-","-","-","-","-","-","260","260357","370001102663"
"Luther Nick Jeralds Middle","Luther Nick Jeralds Middle","2517 Ramsey Street","-","Fayetteville","NC","28301","3859","-","-","-","-","-","-","260","260358","370001102123"
"E E Smith High","E E Smith High","1800 Seabrook Road","-","Fayetteville","NC","28301","-","-","-","-","-","-","-","260","260359","370001102124"
"Ferguson-Easley Elementary","Ferguson-Easley Elementary","1857 Seabrook Road","-","Fayetteville","NC","28301","0531","-","-","-","-","-","-","260","260361","370001102125"
"Gray's Creek Middle","Gray's Creek Middle","5151 Celebration Drive","-","Hope Mills","NC","28348","-","-","-","-","-","-","-","260","260362","370001102574"
"Glendale Acres Elementary","Glendale Acres Elementary","2915 Skycrest Drive","-","Fayetteville","NC","28304","3699","-","-","-","-","-","-","260","260363","370001102126"
"Alderman Road Elementary","Alderman Road Elementary","2860 Alderman Road","-","Fayetteville","NC","28306","-","-","-","-","-","-","-","260","260364","370001100414"
"R Max Abbott Middle","R Max Abbott Middle","590 Winding Creek Road","-","Fayetteville","NC","28305","5134","-","-","-","-","-","-","260","260365","370001102127"
"Howard L Hall Elementary","Howard L Hall Elementary","526 Andrews Road","-","Fayetteville","NC","28311","1110","-","-","-","-","-","-","260","260366","370001102128"
"Bill Hefner Elementary","Bill Hefner Elementary","7059 Calamar Drive","-","Fayetteville","NC","28314","-","-","-","-","-","-","-","260","260367","370001101377"
"Hope Mills Middle","Hope Mills Middle","4975 Cameron Road","-","Hope Mills","NC","28348","2498","-","-","-","-","-","-","260","260368","370001100415"
"John R Griffin Middle","John R Griffin Middle","5551 Fisher Road","-","Fayetteville","NC","28304","-","-","-","-","-","-","-","260","260369","370001102439"
"Ed V Baldwin Elementary","Ed V Baldwin Elementary","4441 Legion Road","-","Hope Mills","NC","28348","1626","-","-","-","-","-","-","260","260370","370001100416"
"Lewis Chapel Middle","Lewis Chapel Middle","2150 Skibo Road","-","Fayetteville","NC","28314","0294","-","-","-","-","-","-","260","260372","370001100417"
"Gallberry Farm Elementary","Gallberry Farm Elementary","8019 Byerly Drive","-","Hope Mills","NC","28348","-","-","-","-","-","-","-","260","260373","370001102513"
"Alger B. Wilkins High School ","Alger B. Wilkins High School ","1429 Skibo Road","-","Fayetteville","NC","28303","-","-","-","-","-","-","-","260","260374","370001102981"
"Gray's Creek Elementary","Gray's Creek Elementary","2964 School Rd","-","Hope Mills","NC","28348","-","-","-","-","-","-","-","260","260375","370001103082"
"Long Hill Elementary","Long Hill Elementary","6490 Ramsey Street","-","Fayetteville","NC","28311","9317","-","-","-","-","-","-","260","260380","370001100418"
"Lucile Souders Elementary","Lucile Souders Elementary","128 Hillview Avenue","-","Fayetteville","NC","28301","3106","-","-","-","-","-","-","260","260382","370001102129"
"Mac Williams Middle","Mac Williams Middle","4644 Clinton Road","-","Fayetteville","NC","28312","-","-","-","-","-","-","-","260","260383","370001101832"
"Margaret Willis Elementary","Margaret Willis Elementary","1412 Belvedere Avenue","-","Fayetteville","NC","28305","4599","-","-","-","-","-","-","260","260386","370001102130"
"Massey Hill Classical High","Massey Hill Classical High","1062 Southern Avenue","-","Fayetteville","NC","28306","1799","-","-","-","-","-","-","260","260388","370001100420"
"Mary McArthur Elementary","Mary McArthur Elementary","3809 Village Drive","-","Fayetteville","NC","28304","1532","-","-","-","-","-","-","260","260396","370001100421"
"E Melvin Honeycutt Elementary","E Melvin Honeycutt Elementary School","4665 Lakewood Drive","-","Fayetteville","NC","28306","-","-","-","-","-","-","-","260","260397","370001101391"
"E E Miller Elementary","E E Miller Elementary","1361 Rim Road","-","Fayetteville","NC","28314","9100","-","-","-","-","-","-","260","260398","370001102283"
"Montclair Elementary","Montclair Elementary","555 Glensford Drive","-","Fayetteville","NC","28314","2326","-","-","-","-","-","-","260","260400","370001100422"
"Morganton Road Elementary","Morganton Road Elementary","102 Bonanza Drive","-","Fayetteville","NC","28303","6314","-","-","-","-","-","-","260","260401","370001100423"
"Manchester Elementary","Manchester Elementary","611 Spring Avenue","-","Spring Lake","NC","28390","2828","-","-","-","-","-","-","260","260402","370001100424"
"New Century International Elementary","New Century International Elementary","7465 Century Circle","-","Fayetteville","NC","28306","-","-","-","-","-","-","-","260","260403","370001103160"
"William H Owen Elementary","William H Owen Elementary","4533 Raeford Road","-","Fayetteville","NC","28304","3229","-","-","-","-","-","-","260","260404","370001100447"
"Walker-Spivey Elementary","Walker-Spivey Elementary","500 Fisher Street","-","Fayetteville","NC","28301","5171","-","-","-","-","-","-","260","260405","370001102131"
"Pine Forest Middle","Pine Forest Middle","6901 Ramsey Street","-","Fayetteville","NC","28311","9425","-","-","-","-","-","-","260","260406","370001100425"
"Lake Rim Elementary","Lake Rim Elementary","1455 Hoke Loop Road","-","Fayetteville","NC","28314","-","-","-","-","-","-","-","260","260407","370001102514"
"Pine Forest High","Pine Forest High","525 Andrews Road","-","Fayetteville","NC","28311","1199","-","-","-","-","-","-","260","260408","370001100426"
"Ponderosa Elementary","Ponderosa Elementary","311 Bonanza Drive","-","Fayetteville","NC","28303","6398","-","-","-","-","-","-","260","260410","370001100427"
"Reid Ross Classical High","Reid Ross Classical High","3200 Ramsey Street","-","Fayetteville","NC","28301","3118","-","-","-","-","-","-","260","260411","370001102132"
"Raleigh Road Elementary","Raleigh Road Elementary","8330 Ramsey Street","-","Linden","NC","28356","9799","-","-","-","-","-","-","260","260412","370001100428"
"Howard Learning Academy","Howard Learning Academy Middle School","1608 Camden Road","-","Fayetteville","NC","28306","-","-","-","-","-","-","-","260","260413","370001102087"
"Benjamin J Martin Elementary","Benjamin J Martin Elementary School","430 N Reilly Road","-","Fayetteville","NC","28303","2411","-","-","-","-","-","-","260","260414","370001100429"
"Rockfish Elementary","Rockfish Elementary","5763 Rockfish Road","-","Hope Mills","NC","28348","-","-","-","-","-","-","-","260","260415","370001100430"
"J W Seabrook Elementary","J W Seabrook Elementary","4619 NC Hwy 210 South","-","Fayetteville","NC","28301","-","-","-","-","-","-","-","260","260416","370001100431"
"New Century International Middle","New Century International Middle School","7455 Century Circle","-","Fayetteville","NC","28306","-","-","-","-","-","-","-","260","260417","370001103248"
"Seventy-First Classical Middle","Seventy-First Classical Middle School","6830 Raeford Road","-","Fayetteville","NC","28304","-","-","-","-","-","-","-","260","260418","370001101833"
"Reid Ross Classical Middle","Reid Ross Classical Middle School","3200 Ramsey Street ","-","Fayetteville","NC","28301","-","-","-","-","-","-","-","260","260419","370001103247"
"Seventy-First High","Seventy-First High","6764 Raeford Road","-","Fayetteville","NC","28304","2771","-","-","-","-","-","-","260","260424","370001100433"
"South View Middle","South View Middle","4100 Elk Road","-","Hope Mills","NC","28348","1697","-","-","-","-","-","-","260","260425","370001100435"
"Sherwood Park Elementary","Sherwood Park Elementary","2115 Hope Mills Road","-","Fayetteville","NC","28304","4291","-","-","-","-","-","-","260","260426","370001100434"
"South View High","South View High","4184 Elk Road","-","Hope Mills","NC","28348","1698","-","-","-","-","-","-","260","260427","370001100436"
"Spring Lake Middle","Spring Lake Middle","612 Spring Avenue","-","Spring Lake","NC","28390","2829","-","-","-","-","-","-","260","260428","370001100437"
"Stedman Elementary","Stedman Elementary","7370 Clinton Road Hwy 24","-","Stedman","NC","28391","-","-","-","-","-","-","-","260","260430","370001101848"
"Stedman Primary","Stedman Primary","155 E First Street","-","Stedman","NC","28391","-","-","-","-","-","-","-","260","260432","370001100438"
"Stoney Point Elementary","Stoney Point Elementary","7411 Rockfish Road","-","Fayetteville","NC","28306","-","-","-","-","-","-","-","260","260434","370001102575"
"Sunnyside Elementary","Sunnyside Elementary","3876 Sunnyside School Road","-","Fayetteville","NC","28312","9634","-","-","-","-","-","-","260","260440","370001100440"
"Terry Sanford High","Terry Sanford High","2301 Fort Bragg Road","-","Fayetteville","NC","28303","7035","-","-","-","-","-","-","260","260446","370001102134"
"Vanstory Hills Elementary","Vanstory Hills Elementary","400 Foxhall Road","-","Fayetteville","NC","28303","5244","-","-","-","-","-","-","260","260448","370001102135"
"Ramsey Street High","Ramsey Street Alternative High School","117 Quincy St","-","Fayetteville","NC","28301","-","-","-","-","-","-","-","260","260449","370001102136"
"Warrenwood Elementary","Warrenwood Elementary","4618 Rosehill Road","-","Fayetteville","NC","28311","2029","-","-","-","-","-","-","260","260450","370001100442"
"Westarea Elementary","Westarea Elementary","941 Country Club Drive","-","Fayetteville","NC","28301","2907","-","-","-","-","-","-","260","260452","370001100443"
"Westover Middle","Westover Middle","275 Bonanza Drive","-","Fayetteville","NC","28303","6399","-","-","-","-","-","-","260","260454","370001100444"
"Westover High","Westover High","277 Bonanza Drive","-","Fayetteville","NC","28303","6397","-","-","-","-","-","-","260","260455","370001100445"
"William T Brown Elementary","William T Brown Elementary","2522 Andrews Church Road","-","Spring Lake","NC","28390","3557","-","-","-","-","-","-","260","260459","370001101097"
"Cumberland Virtual Academy 6-12 ","Cumberland Virtual Academy 6-12 ","800 North Street","-","Fayetteville","NC","28301","-","-","-","-","-","-","-","260","260460","370001103539"
"Cumberland Virtual Academy K-5 ","Cumberland Virtual Academy K-5 ","800 North Street","-","Fayetteville","NC","28301","-","-","-","-","-","-","-","260","260461","370001103553"
"Cumberland Polytechnic","Cumberland Polytechnic High","220 Hull Rd","-","Fayetteville","NC","28303","-","PO Box 2357","-","Fayetteville","NC","28306","-","260","260700","370001102757"
"Albritton Middle","Albritton Middle School","Normandy Dr Bldg 4-3331","-","Fort Bragg","NC","28307","-","PO Box 70089","-","Fort Bragg","NC","28307","0089","269","269202","370014802954"
"Bowley Elementary","Bowley Elementary School","Randolph St Bldg 1-3479","-","Fort Bragg","NC","28307","-","PO Box 70089","-","Fort Bragg","NC","28307","0089","269","269204","370014802932"
"Gordon Elementary","Gordon Elementary School","4200 Percy Blvd Bldg L6323","-","Cameron","NC","28326","-","PO Box 70089","-","Fort Bragg","NC","28307","0089","269","269207","370014803270"
"Devers Elementary","Devers Elementary School","One Varsity Dr Bldg 9-5536","-","Fort Bragg","NC","28307","-","PO Box 70089","-","Fort Bragg","NC","28307","0089","269","269210","370014802962"
"Irwin Intermediate","Irwin Intermediate School","B-6138 Rhine Rd","-","Fort Bragg","NC","28307","-","PO Box 70089","-","Fort Bragg","NC","28307","0089","269","269216","370014802938"
"Shughart Elementary","Shughart Elementary School","4800 Camel Rd","-","Cameron","NC","28326","-","PO Box 70089","-","Fort Bragg","NC","28307","0089","269","269235","370014803268"
"Shughart Middle","Shughart Middle School","4800 Camel Rd","-","Cameron","NC","28326","-","PO Box 70089","-","Fort Bragg","NC","28307","0089","269","269237","370014803271"
"Hampton Primary","Hampton Primary School","4503 Honeycutt Road","Bldg B-7757","Fort Bragg","NC","28307","-","-","-","-","-","-","-","269","269351","370014803488"
"Poole Elementary","Poole Elementary School","3561 Percy Blvd","-","Cameron","NC","28326","-","-","-","-","-","-","-","269","269410","370014803489"
"Alpha Academy","Alpha Academy","8030 Raeford Road","-","Fayetteville","NC","28304","-","PO Box 26179","-","Fayetteville","NC","28314","-","26B","26B000","370010302511"
"The Capitol Encore Academy","The Capitol Encore Academy","126 Hay Street","-","Fayetteville","NC","28301","-","-","-","-","-","-","-","26C","26C000","370037003341"
"Central Elementary","Central Elementary","504 Shortcut Road","-","Barco","NC","27917","-","-","-","-","-","-","-","270","270304","370108000448"
"Currituck County High","Currituck County High","4203 Caratoke Hwy","-","Barco","NC","27917","-","-","-","-","-","-","-","270","270306","370108000449"
"Currituck County Middle","Currituck County Middle","4263 Caratoke Hwy","-","Barco","NC","27917","-","-","-","-","-","-","-","270","270308","370108000451"
"Jarvisburg Elementary","Jarvisburg Elementary","110 Jarvisburg Rd","-","Jarvisburg","NC","27947","-","-","-","-","-","-","-","270","270309","370108003039"
"Shawboro Elementary School","Shawboro Elementary School","370 Shawboro Road","-","Shawboro","NC","27973","-","-","-","-","-","-","-","270","270310","370108002374"
"The JP Knapp ECH (i)School","The JP Knapp ECH (i)School","2966 Caratoke Hwy","-","Currituck","NC","27929","-","-","-","-","-","-","-","270","270311","370108003037"
"Knotts Island Elementary","Knotts Island Elementary","413 Woodleigh Road","-","Knotts Island","NC","27950","-","PO Box 40","-","Knotts Island","NC","27950","0040","270","270312","370108000452"
"Moyock Elementary","Moyock Elementary","255 Tulls Creek Road","-","Moyock","NC","27958","-","-","-","-","-","-","-","270","270316","370108000453"
"Moyock Middle","Moyock Middle","216 Survey Road","-","Moyock","NC","27958","-","-","-","-","-","-","-","270","270318","370108002627"
"W T Griggs Elementary","WT Griggs Elementary","261 Poplar Branch Road","-","Poplar Branch","NC","27965","-","-","-","-","-","-","-","270","270320","370108000450"
"Water's Edge Village School","Water's Edge Village School","1126 Schoolhouse Lane","-","Corolla","NC","27927","-","PO Box 215","-","Corolla","NC","27927","0215","27A","27A000","370032903264"
"Cape Hatteras Elementary School","Cape Hatteras Elementary School","47500 Middle Ridge","-","Buxton","NC","27920","-","PO Box 989","-","Buxton","NC","27920","0989","280","280302","370111002088"
"Cape Hatteras Secondary School","Cape Hatteras Secondary School","48576  Highway 12","-","Buxton","NC","27920","-","PO Box 948","-","Buxton","NC","27920","0948","280","280304","370111000454"
"Dare Learning Academy","Dare Learning Academy","100 Veterans Drive","-","Kill Devil Hills","NC","27948","-","100 Veterans Drive","-","Kill Devil Hills","NC","27948","-","280","280306","370111002093"
"Kitty Hawk Elementary School","Kitty Hawk Elementary School","16 Dogwood Trail","-","Kitty Hawk","NC","27949","-","-","-","-","-","-","-","280","280308","370111000455"
"Nags Head Elementary School","Nags Head Elementary School","3100 S Wrightsville Avenue","-","Nags Head","NC","27959","-","-","-","-","-","-","-","280","280310","370111002758"
"Manteo Elementary School","Manteo Elementary School","701 N Hwy 64/264","-","Manteo","NC","27954","-","-","-","-","-","-","-","280","280312","370111000456"
"Manteo High School","Manteo High School","829 Wingina Avenue","-","Manteo","NC","27954","-","-","-","-","-","-","-","280","280316","370111000457"
"Manteo Middle School","Manteo Middle School","1000 N Hwy 64","-","Manteo","NC","27954","-","-","-","-","-","-","-","280","280320","370111002107"
"First Flight Elementary School","First Flight Elementary School","107 Veterans Drive","-","Kill Devil Hills","NC","27948","-","-","-","-","-","-","-","280","280324","370111002290"
"First Flight Middle School","First Flight Middle School","109 Veterans Drive","-","Kill Devil Hills","NC","27948","-","-","-","-","-","-","-","280","280328","370111002291"
"First Flight High School","First Flight High School","100 Veterans Drive","-","Kill Devil Hills","NC","27948","-","-","-","-","-","-","-","280","280330","370111002724"
"Brier Creek Elementary","Brier Creek Elementary","175 Watford Road","-","Thomasville","NC","27360","-","-","-","-","-","-","-","290","290302","370114002664"
"Northwest Elementary","Northwest Elementary","400 Northwest Elementary Road","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290306","370114000476"
"Southmont Elementary","Southmont Elementary School","398 Owen Rd","-","Lexington","NC","27292","-","-","-","-","-","-","-","290","290307","370114003119"
"Central Davidson High","Central Davidson High","2747 NC Hwy 47","-","Lexington","NC","27292","7700","-","-","-","-","-","-","290","290308","370114000459"
"Central Davidson Middle","Central Davidson Middle","2591 NC Hwy 47","-","Lexington","NC","27292","7733","-","-","-","-","-","-","290","290309","370114000458"
"Stoner-Thomas School","Stoner-Thomas School","215 County School Road","-","Lexington","NC","27292","-","-","-","-","-","-","-","290","290310","370114000460"
"Churchland Elementary","Churchland Elementary","7571 S NC Hwy 150","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290312","370114000461"
"Davidson County High School","Davidson County High School","2061 E Holly Grove Road","-","Lexington","NC","27292","-","-","-","-","-","-","-","290","290314","370114000462"
"Davidson Early College","Davidson Early College","297 DCCC Road","-","Thomasville","NC","27360","-","PO Box 1287","-","Lexington","NC","27293","1287","290","290315","370114002759"
"Davis-Townsend Elementary","Davis-Townsend Elementary","975 Heath Church Road","-","Lexington","NC","27292","9702","-","-","-","-","-","-","290","290316","370114000463"
"Denton Elementary","Denton Elementary","305 W Salisbury Street","-","Denton","NC","27239","-","-","-","-","-","-","-","290","290320","370114000464"
"E Lawson Brown Middle","E Lawson Brown Middle","1140 Kendall Mill Road","-","Thomasville","NC","27360","6022","-","-","-","-","-","-","290","290322","370114000466"
"East Davidson High","East Davidson High","1408 Lake Road","-","Thomasville","NC","27360","6031","-","-","-","-","-","-","290","290324","370114000467"
"Fair Grove Elementary","Fair Grove Elementary","217 Cedar Lodge Road","-","Thomasville","NC","27360","6140","-","-","-","-","-","-","290","290328","370114000468"
"Friedberg Elementary","Friedberg Elementary","1131 Friedberg Church Road","-","Winston-Salem","NC","27127","-","-","-","-","-","-","-","290","290330","370114002576"
"Hasty Elementary","Hasty Elementary","325 Hasty School Road","-","Thomasville","NC","27360","8908","-","-","-","-","-","-","290","290332","370114000469"
"Friendship Elementary","Friendship Elementary","1490 Friendship-Ledford Road","-","Winston-Salem","NC","27107","-","-","-","-","-","-","-","290","290333","370114002760"
"Ledford Middle","Ledford Middle","3954 N NC Hwy 109","-","Thomasville","NC","27360","9254","-","-","-","-","-","-","290","290334","370114000470"
"Ledford Senior High","Ledford Senior High","140 Jesse Green Road","-","Thomasville","NC","27360","9250","-","-","-","-","-","-","290","290336","370114000471"
"Midway Elementary","Midway Elementary","318 Midway School Road","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290344","370114000473"
"North Davidson High","North Davidson High","7227 Old US Hwy 52","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290348","370114000475"
"Oak Grove High","Oak Grove High School","3507 Midway School Rd","-","Winston-Salem","NC","27107","-","-","-","-","-","-","-","290","290349","370114003389"
"North Davidson Middle","North Davidson Middle","333 Critcher Drive","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290350","370114000474"
"Oak Grove Middle","Oak Grove Middle School","1771 Hoy Long Road","-","Winston-Salem","NC","27107","-","-","-","-","-","-","-","290","290351","370114003251"
"Pilot Elementary","Pilot Elementary","145 Pilot School Road","-","Thomasville","NC","27360","7800","-","-","-","-","-","-","290","290352","370114000477"
"Reeds Elementary","Reeds Elementary","791 South NC Hwy 150","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290356","370114000478"
"Silver Valley Elementary","Silver Valley Elementary","11161 East Old Hwy 64","-","Lexington","NC","27292","7600","-","-","-","-","-","-","290","290364","370114000479"
"South Davidson Middle and High","South Davidson Middle and High","14956 South NC Hwy 109","-","Denton","NC","27239","9642","-","-","-","-","-","-","290","290365","370114002216"
"Southwood Elementary","Southwood Elementary","5850 NC Hwy 8","-","Lexington","NC","27292","9154","-","-","-","-","-","-","290","290366","370114002036"
"Tyro Elementary","Tyro Elementary","450 Cow Palace Rd","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290375","370114003015"
"Tyro Middle","Tyro Middle","2946 Michael Road","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290376","370114000481"
"Wallburg Elementary","Wallburg Elementary","205 Motsinger Road","-","Winston-Salem","NC","27107","-","-","-","-","-","-","-","290","290380","370114000482"
"Welcome Elementary","Welcome Elementary","5701 Old Hwy 52","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290384","370114000483"
"West Davidson High","West Davidson High","200 Dragon Drive","-","Lexington","NC","27295","-","-","-","-","-","-","-","290","290388","370114000484"
"Yadkin Valley Regional Career Academy","Yadkin Valley Regional Career Academy","2065 E. Holly Grove Road","-","Lexington","NC","27292","-","-","-","-","-","-","-","290","290389","370114003257"
"Charles England Elementary School","Charles England Elementary School","111 Cornelia Drive","-","Lexington","NC","27292","-","-","-","-","-","-","-","291","291308","370264001098"
"Lexington Middle School","Lexington Middle School","100 West Hemstead Street","-","Lexington","NC","27292","-","-","-","-","-","-","-","291","291332","370264001101"
"Lexington Senior High School","Lexington Senior High School","26 Penry Street","-","Lexington","NC","27292","-","-","-","-","-","-","-","291","291336","370264001102"
"Pickett Elementary School","Pickett Elementary School","200 Biesecker Road","-","Lexington","NC","27295","-","-","-","-","-","-","-","291","291340","370264001103"
"South Lexington School","South Lexington School","1000 Cotton Grove Road","-","Lexington","NC","27292","-","-","-","-","-","-","-","291","291348","370264001105"
"South Lexington Developmental Center","South Lexington Developmental Center","1000 Cotton Grove Road","-","Lexington","NC","27292","-","-","-","-","-","-","-","291","291350","370264002725"
"Southwest Elementary Global Academy","Southwest Elementary Global Academy","434 Central Avenue","-","Lexington","NC","27292","-","-","-","-","-","-","-","291","291352","370264001104"
"Liberty Drive Elementary","Liberty Drive Elementary School","401 Liberty Drive","-","Thomasville","NC","27360","4855","-","-","-","-","-","-","292","292316","370450001774"
"Thomasville Primary","Thomasville Primary School","915 E Sunrise Avenue","-","Thomasville","NC","27360","4945","-","-","-","-","-","-","292","292318","370450000792"
